ACCT_ID,SERIAL_NBR
4760850850,GE9911546
1581265073,GE9357236
3923250638,GE2312688
2983790758,GE9801031
5463672000,GE3660850
1098903466,4952578
5247533377,SS17702103
7312871090,11613169
4035483656,GE3756142
4517972000,GE3644444
6527282000,GE3924839
9644972000,GE9327421
3552172000,8279632
9218866074,GE9910806
992347234,GE3756356
7717672000,E64166000000
4095172000,56603461
4525602602,25042
9440282000,GE9788038
9599144450,GE4231099
3896167002,GE3733423
353345776,GE9418159
6535772000,GE9328412
8381213835,5139724
2064431869,GE3913265
4778959225,1365323
7415872000,GE3832879
1849633801,GE3688286
6505888193,GE9365609
5773676666,GE9422184
5359372000,GE9322864
7163372000,17173735
1517672000,GE3968339
2383382000,1942973
3307772000,GE9362863
5739902036,1548273
8850044867,5139612
5022701071,GE9353354
8053848439,GE9814653
2441011546,1548803
5202996101,GE3755009
8866972000,GE9323361
2600482377,GE9461785
9698082000,GE3687179
4046138292,GE9328219
4571172286,GE9912094
55082000,11619127
6781172000,GE9463816
4403872000,GE3925839
364421999,GE9364114
3421272000,GE9330605
8484674863,GE9892429
7416867149,GE9391802
7656072000,GE3910539
1456182000,GE9362506
6983572000,4968562
3689772000,GE3735148
5973529359,GE3911973
9352802165,SS11380110
4265772000,GE3688514
8368797688,11614369
3129872000,GE9329020
7644476059,GE3621597
6716282000,537732
4349978611,SS11385697
8697082000,GE9322949
6716840810,GE3686042
3701825472,GE9417951
2235151573,Y0564838
3915096337,GE3620054
1913272000,61833340
4121818420,GE5854959
8319395117,GE9444303
2451804530,23583176
3856272000,GE3644641
3275580286,GE9856614
2679872000,GE9892239
2290972000,GE9784490
1846172000,11323145
1344372000,GE3758381
3838472000,4098897
5275572000,GE9323040
92772000,GE9814247
4690672000,SS13767574
1969397523,GE9812306
9178672000,GE3801649
1955372000,GE3798569
6737472000,7184276
8451405331,28861357
1027785292,GE9330083
4623728748,GE3817564
6944213802,GE3755422
712990201,5139583
1495772000,RE5306000000
8819672000,GE9855198
9498282000,GE9421316
5345768590,GE9390671
9216282000,D384865
7105923035,GE5853590
8259372000,57632155
3144382000,GE9322515
1076767067,GE9417178
2815372000,11149163
4912012048,GE3733667
2573380392,5258311
1360182000,61826888
8454547470,28862916
8082772000,GE9765503
5387182000,GE9387699
1981251493,56604624
9882672000,23574634
5716172000,GE9799566
2512972000,8066924
8634143942,GE9416146
5189182000,GE9784094
6000352867,GE9357493
2109082000,GE3685608
6450182000,GE3858615
816079107,606951
1658326944,55777386
8523517176,GE9767275
1348282000,GE3910520
3897279521,24251
